participant_id,distribution_type,distribution_name,engagement_id,engagement_started_PDT,engagement_completed_PDT,engagement_participation_status,BrokerPanelId,Q1_province,Q1a_urban_rural,Q2_canadian_tenure,Q3_generation,Q4_identity_top3_1,Q4_identity_top3_2,Q4_identity_top3_3,Q4_identity_top3_4,Q4_identity_top3_5,Q4_identity_top3_6,Q4_identity_top3_7,Q4_identity_top3_8,Q4_Other,Q4_Other_sentiment,Q4_Other_sentiment_percentage,Q5_identity_connection,Q5b_identity_connection_why,Q5b_Video_transcription,Q5b_Video_sentiment,Q5b_Video_sentiment_percentage,Q5b_Text,Q5b_Text_sentiment,Q5b_Text_sentiment_percentage,Q6_oneword,Q6_Video_transcription,Q6_Video_sentiment,Q6_Video_sentiment_percentage,Q6_Text,Q6_Text_sentiment,Q6_Text_sentiment_percentage,Q7_values_1,Q7_values_2,Q7_values_3,Q7_values_4,Q7_values_5,Q7_values_6,Q7_values_7,Q7_values_8,Q7_Other,Q7_Other_sentiment,Q7_Other_sentiment_percentage,Q8_onesentance,Q8_Video_transcription,Q8_Video_sentiment,Q8_Video_sentiment_percentage,Q8_Text,Q8_Text_sentiment,Q8_Text_sentiment_percentage,Q9_divisions_1,Q9_divisions_2,Q9_divisions_3,Q9_divisions_4,Q9_divisions_5,Q9_divisions_6,Q9_divisions_7,Q9_divisions_other,Q9_divisions_other_sentiment,Q9_divisions_other_sentiment_percentage,Q10_Connection_building_1,Q10_Connection_building_2,Q10_Connection_building_3,Q10_Connection_building_4,Q10_Connection_building_5,Q10_Connection_building_6,Q10_Connection_building_7,Q10_Other,Q10_Other_sentiment,Q10_Other_sentiment_percentage,Q11_cover_tailgate,Q11_video_transcription,Q11_video_sentiment,Q11_video_sentiment_percentage,Q11_Text,Q11_Text_sentiment,Q11_Text_sentiment_percentage,Q12_Future_hope,Q12_Future_hope_sentiment,Q12_Future_hope_sentiment_percentage,Q13_Future_fear,Q13_Future_fear_sentiment,Q13_Future_fear_sentiment_percentage,Q14_video_consent
27ad9e7e-628d-4adc-b41b-192d761add27,Link,ARF,b34a0c5c-a025-429d-b98e-903cce20fa0f,2025-05-02 14:24:50,2025-05-02 14:29:35,Completed,575137,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),,,,Community relationships and networks,,Belief systems and core values,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,I prefer not to type an answer,NEGATIVE,0.811434269,I'll type my answer instead📱,,,,Freedom,NEUTRAL,0.6831740141,Equitable systems,,,,Environmental regeneration,,Community care networks,,,,,I'll type my answer instead📱,,,,Embraced less divisive messaging and politics and addressed issues of financial and viewpoint polarization.,POSITIVE,0.8069221973,,Political polarization,,,,,Other,Income inequality,NEGATIVE,0.9756947756,Honest dialogue and listening,Collaborative community projects,,,,,,,,,I'll type my answer instead📱,,,,I don’t have an answer for this.,NEGATIVE,0.867125988,There isn’t one word,NEUTRAL,0.7768830657,There isn’t one word,NEUTRAL,0.7768830657,
ab54fa36-7023-4094-a9bc-ab09ef82da34,Link,ARF,4166993d-1d89-4d7a-9b9b-fddf6fa54d20,2025-05-02 14:25:18,2025-05-02 14:27:50,Completed,508450,New Brunswick,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),,Cultural and linguistic frameworks,,Community relationships and networks,Work and creative contributions,,,,,,,A little connected,I'll type my answer instead📱,,,,Genetics,NEUTRAL,0.9971718192,I'll type my answer instead📱,,,,Pride,NEUTRAL,0.9814878702,,,Embracing pluralism,Indigenous reconciliation and rights,,,Community care networks,,,,,I'll type my answer instead📱,,,,Trade,NEUTRAL,0.9914605618,,,,Generational perspectives,,,,,,,Honest dialogue and listening,,,,,Newcomer integration and knowledge,,,,,I'll type my answer instead📱,,,,Didn't,NEUTRAL,0.7190214992,Trade,NEUTRAL,0.9914605618,USA,NEUTRAL,0.9983343482,
ae3548f7-e77f-4402-955e-438d716d0adb,Link,ARF,0106434d-ff16-483f-83b0-cc609602e581,2025-05-02 14:30:15,2025-05-02 14:38:32,Completed,582175,British Columbia,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),,,,Community relationships and networks,,Belief systems and core values,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,"Because I am proud to be a Canadian, a country that believes in diversity, accepting people of all ages, ragce orientation, stage in life, etd",POSITIVE,0.9936855435,I'll type my answer instead📱,,,,Accepting,NEUTRAL,0.6540545225,,Freedom and autonomy,Embracing pluralism,,,,Community care networks,,,,,I'll type my answer instead📱,,,,"Made ourselves economically independent from other countries, Developed a greater manufacturing and energy base a ",POSITIVE,0.7434494495,,,Urban/rural disconnection,,Economic inequality,,,,,,,Collaborative community projects,,,,,,,,,I'll type my answer instead📱,,,,"A place where all are welcome
",POSITIVE,0.9365426898,"unity
",NEUTRAL,0.976808548,division,NEUTRAL,0.999516964,
17fce6ab-e2c3-4af3-887b-fe824ae6ce80,Link,ARF,6c85f248-76cf-4747-920f-e026204c4637,2025-05-02 14:30:30,2025-05-02 14:44:55,Completed,584771,British Columbia,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),,,,Community relationships and networks,Work and creative contributions,Belief systems and core values,,,,,,Very connected,I'll type my answer instead📱,,,,"I was born and raised in BC to Dutch immigrant parents. I was taught the value of community, working hard, participating in events and giving back. I am proud of my heritage and to call myself Canadian. I want to live in a country that is just, that works togeather to build a strong nation. ",POSITIVE,0.9912474751,I'll type my answer instead📱,,,,"Honest, strong, common goals ",POSITIVE,0.9296751022,Equitable systems,,,,Environmental regeneration,Technological innovation and adaptation,,,,,,I'll type my answer instead📱,,,,It would have a strong economy using our resources responsibly while building affordability and holding criminals accountable for their actions no matter their physical or mental state.,POSITIVE,0.9949082732,Resource and regional tensions,,,,Economic inequality,,,,,,Honest dialogue and listening,,,Educational transformation,,,,,,,I'll type my answer instead📱,,,,The happiest place on earth.,POSITIVE,0.9852280617,Honesty,NEUTRAL,0.9979781508,Fractured,NEUTRAL,0.8660163283,
97bd215c-f766-4c3c-b4c0-df75bbfbc4c5,Link,ARF,612a7174-c1c7-40da-8a68-3d85b4600392,2025-05-02 14:30:59,2025-05-02 14:36:26,Completed,570366,British Columbia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),,,,Community relationships and networks,,Belief systems and core values,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,"You remember the ""My name is Joe, and I am Canadian"" commercials?  We believe in peacekeeping, not policing, etc.  That perfectly captures my feelings about being Canadian.   ",POSITIVE,0.8158839345,I'll type my answer instead📱,,,,Progressive,NEUTRAL,0.8481404781,Equitable systems,,,Indigenous reconciliation and rights,Environmental regeneration,,,,,,,I'll type my answer instead📱,,,,Become an global leader on transitioning to clean energy,POSITIVE,0.9861882329,,Political polarization,,,Economic inequality,,,,,,Honest dialogue and listening,,,Educational transformation,,,,,,,I'll type my answer instead📱,,,,"We keep trying to do our best, even when we fall short.",POSITIVE,0.7134063244,Thriving,NEUTRAL,0.9497306347,America.,NEUTRAL,0.9313073754,
d10fc2a7-b5b9-4643-8beb-2e3ca8d49b76,Link,ARF,d707dd61-1cb4-451a-bebd-375824308d79,2025-05-02 14:36:44,2025-05-02 14:44:29,Completed,323379,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Heritage and ancestral connections,,,,,Belief systems and core values,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,Because I was born and bred in Canada and proud of it.,POSITIVE,0.9847454429,I'll type my answer instead📱,,,,Complicated,NEGATIVE,0.9138664007,,Freedom and autonomy,,Indigenous reconciliation and rights,Environmental regeneration,,,,,,,I'll type my answer instead📱,,,,Hard to say ... I can't think that far ahead,NEUTRAL,0.6210594177,,Political polarization,,,Economic inequality,,,,,,Honest dialogue and listening,,Cultural celebration and exchange,,,,,,,,I'll type my answer instead📱,,,,Strong and Free,POSITIVE,0.975368619,Freedom,NEUTRAL,0.6831740141,Trump,NEUTRAL,0.9979364872,
d3554859-d9f4-4e2d-859e-41d154d9d8fe,Link,ARF,39f8b6e2-d955-4b13-82b1-95a40f68647b,2025-05-02 14:47:51,2025-05-02 15:07:28,Completed,225482,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),,,Regional landscape and place,Community relationships and networks,,,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,I love where I live because I am comfortable in my community connections and the climate is connected to how I go about my life,POSITIVE,0.9997691512,I'll type my answer instead📱,,,,Loyal,NEUTRAL,0.9997349381,,Freedom and autonomy,,,,Technological innovation and adaptation,Community care networks,,,,,I'll type my answer instead📱,,,,Canada becomes a world superpower in energy,POSITIVE,0.8995420337,Resource and regional tensions,,,,,,,,,,Honest dialogue and listening,Collaborative community projects,,,,,,,,,I'll type my answer instead📱,,,,One of the greatest countries to live in.,POSITIVE,0.9615933895,Flourishing,POSITIVE,0.8517997861,Separatism,NEUTRAL,0.9584074616,
2df9b05a-991c-4d1a-b0a2-f5476c93accd,Link,ARF,a664ae91-4842-4e35-be3c-809b6532370d,2025-05-02 14:49:49,2025-05-02 14:55:01,Completed,540255,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Heritage and ancestral connections,,,,,Belief systems and core values,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,Grew up in a very nationalistic area. Proud of Canadian historical achievements on the world stage.,POSITIVE,0.861674428,I'll type my answer instead📱,,,,Hoser,NEUTRAL,0.9730573893,Equitable systems,Freedom and autonomy,,,,,Community care networks,,,,,I'll type my answer instead📱,,,,Removed FPTP,NEUTRAL,0.8586589098,,Political polarization,,,Economic inequality,,,,,,Honest dialogue and listening,,,,,Newcomer integration and knowledge,,,,,I'll type my answer instead📱,,,,Made with international parts,NEUTRAL,0.8987686634,Equality,NEUTRAL,0.6726326346,Conservatism,NEUTRAL,0.7763835192,
17f08008-3be7-44b1-98bb-e3d82ba301d8,Link,ARF,78538610-ec82-4b1a-9d3a-1267f76f564e,2025-05-02 14:55:43,2025-05-02 15:03:10,Completed,529109,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),,,,Community relationships and networks,Work and creative contributions,Belief systems and core values,,,,,,Very connected,I'll type my answer instead📱,,,,The freedom I enjoy every day,POSITIVE,0.9989950061,I'll type my answer instead📱,,,,Healthcare,NEUTRAL,0.9917464256,,,,,Environmental regeneration,Technological innovation and adaptation,Community care networks,,,,,I'll type my answer instead📱,,,,Global leading,POSITIVE,0.5365323424,,Political polarization,,,,Cultural misunderstanding,,,,,Honest dialogue and listening,,Cultural celebration and exchange,,,,,,,,I'll type my answer instead📱,,,,Opportunity,NEUTRAL,0.7852699161,Working together to progress our society,POSITIVE,0.9872042537,Division,NEUTRAL,0.999542594,
a10362ce-af1e-4c8f-87ae-f7079ac5a466,Link,ARF,3579db1d-40e8-4712-9958-21d5804ffbc6,2025-05-02 14:59:02,2025-05-02 15:03:13,Completed,538576,British Columbia,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Heritage and ancestral connections,,,,Work and creative contributions,,,,,,,Very connected,I'll type my answer instead📱,,,,Been here all my life,NEUTRAL,0.535131216,I'll type my answer instead📱,,,,Poor choice of goverments,NEGATIVE,0.9965738058,,Freedom and autonomy,,,,Technological innovation and adaptation,,,,,,I'll type my answer instead📱,,,,Having an effective military,POSITIVE,0.626287818,,Political polarization,Urban/rural disconnection,,,,,,,,Honest dialogue and listening,,,,,,,,,,I'll type my answer instead📱,,,,Don't screw it up this time.,NEGATIVE,0.7587179542,Fiscal;,NEUTRAL,0.9316408634,Liberals,NEUTRAL,0.9947263598,
af1f4c1f-a1b2-43cf-885a-5409c97d7f8b,Link,ARF,ee041d34-02f3-4314-a2eb-f0f4786d270d,2025-05-02 15:00:52,2025-05-02 15:08:18,Completed,502020,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),,,,,Work and creative contributions,Belief systems and core values,Personal passions and curiosities,,,,,Somewhat connected,I'll type my answer instead📱,,,,"I like Canada and am proud to be Canadian, but also feel like I would be fine to become a citizen of another country",POSITIVE,0.9953936338,I'll type my answer instead📱,,,,Free,POSITIVE,0.5138632655,Equitable systems,Freedom and autonomy,Embracing pluralism,,,,,,,,,I'll type my answer instead📱,,,,Greatly increased housing availability and affordability,POSITIVE,0.9957493544,,Political polarization,,Generational perspectives,,,,,,,,Collaborative community projects,Cultural celebration and exchange,,,,,,,,I'll type my answer instead📱,,,,True north strong and free,POSITIVE,0.9616401196,Inspirational,POSITIVE,0.9909147024,Division,NEUTRAL,0.999542594,
59eee013-b4b0-4738-8139-2b8381f065b4,Link,ARF,f3d80816-d4bf-40bc-9021-065fda18c80a,2025-05-02 15:01:21,2025-05-02 15:23:08,Completed,481604,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),,,,,Work and creative contributions,Belief systems and core values,Personal passions and curiosities,,,,,Somewhat connected,I'll type my answer instead📱,,,,I've always lived in Canada and I appreciate many of the country's values,POSITIVE,0.9928318262,I'll type my answer instead📱,,,,Diverse,NEUTRAL,0.9927090406,Equitable systems,Freedom and autonomy,,Indigenous reconciliation and rights,,,,,,,,I'll type my answer instead📱,,,,Create a strong sense of unity (not uniformity),NEUTRAL,0.5020722747,Resource and regional tensions,,,,,Cultural misunderstanding,,,,,Honest dialogue and listening,,,Educational transformation,,,,,,,I'll type my answer instead📱,,,,"We've had successes and we've had failures, but we are always trying. ",MIXED,0.8621253371,Stability,NEUTRAL,0.8662902117,Disunity,NEUTRAL,0.7706241012,
60c62705-50f3-49d7-8794-6e195e40148a,Link,ARF,a47e4de9-b0a7-4de4-a520-57b483bcd25b,2025-05-02 15:04:14,2025-05-02 15:16:15,Completed,321314,Quebec,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Heritage and ancestral connections,,,Community relationships and networks,,Belief systems and core values,,,,,,Very connected,I'll type my answer instead📱,,,,Because I believe in Canada,NEUTRAL,0.854925096,I'll type my answer instead📱,,,,Proud,POSITIVE,0.527977407,,Freedom and autonomy,,,,Technological innovation and adaptation,Community care networks,,,,,I'll type my answer instead📱,,,,It would’ve paid more attention to the senior citizens and how they had to live,NEGATIVE,0.7385051847,Resource and regional tensions,,,,,Cultural misunderstanding,,,,,Honest dialogue and listening,,,Educational transformation,,,,,,,I'll type my answer instead📱,,,,Please read the first version first.,NEUTRAL,0.819390595,Money,NEUTRAL,0.9682033658,Moneyless,NEGATIVE,0.5545369387,
